group,rank,recommended,taxon_id,common_name,scientific_name,countries_with_records,observation_count,review_note
mammals,81,yes,41011,Guadeloupe big-eyed bat,Chiroderma improvisum,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,82,yes,42161,European Fallow Deer,Dama dama,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,83,yes,1275370,Seven-banded Long-nosed Armadillo,Dasypus septemcinctus,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,84,yes,43462,Patas Monkey,Erythrocebus patas,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,85,yes,41274,Black Bonneted Bat,Eumops auripendulus,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,86,yes,1102769,Fierce Bonneted Bat,Eumops ferox,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,87,yes,43789,Puerto Rican Hutia,Isolobodon portoricensis,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,88,yes,41464,Pygmy Sperm Whale,Kogia breviceps,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,89,yes,41407,Gulf Stream Beaked Whale,Mesoplodon europaeus,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,90,yes,1431065,Hispaniolan Mastiff Bat,Molossus verrilli,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,91,yes,74715,Arizona Myotis,Myotis occultus,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,92,yes,40344,Long-legged Myotis,Myotis volans,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,93,yes,1596124,Brazilian Serotine,Neoeptesicus brasiliensis,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,94,yes,74795,Cuban Evening Bat,Nycticeius cubanus,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,95,yes,41315,Big Free-tailed Bat,Nyctinomops macrotis,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,96,yes,41521,Orca,Orcinus orca,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,97,yes,41543,Melon-headed Whale,Peponocephala electra,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,98,yes,41348,Lesser Dog-like Bat,Peropteryx macrotis,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,99,yes,41218,MacLeay's moustached bat,Pteronotus macleayii,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,100,yes,43428,Common Squirrel Monkey,Saimiri sciureus,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,101,no,41496,Spinner Dolphin,Stenella longirostris,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,1,yes,9609,Greater Antillean Grackle,Quiscalus niger,1,5451,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,2,yes,16798,Gray Kingbird,Tyrannus dominicensis,1,4236,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,3,yes,3465,Zenaida Dove,Zenaida aurita,1,3764,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,4,yes,4328,Brown Pelican,Pelecanus occidentalis,1,3465,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,5,yes,10199,Bananaquit,Coereba flaveola,1,3140,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,6,yes,14984,Pearly-eyed Thrasher,Margarops fuscatus,1,2755,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,7,yes,14886,Northern Mockingbird,Mimus polyglottos,1,2721,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,8,yes,144455,Great Egret,Ardea alba,1,2498,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,9,yes,5020,Green Heron,Butorides virescens,1,2444,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,10,yes,4631,Magnificent Frigatebird,Fregata magnificens,1,2364,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,11,yes,144514,Laughing Gull,Leucophaeus atricilla,1,2300,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,12,yes,411086,Western Cattle-Egret,Ardea ibis,1,2212,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,13,yes,4999,Yellow-crowned Night Heron,Nyctanassa violacea,1,2076,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,14,yes,4665,American Kestrel,Falco sparverius,1,1871,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,15,yes,144539,Royal Tern,Thalasseus maximus,1,1784,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,16,yes,2969,Eurasian Collared-Dove,Streptopelia decaocto,1,1712,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,17,yes,979800,Black-faced Grassquit,Melanospiza bicolor,1,1699,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,18,yes,144479,Common Gallinule,Gallinula galeata,1,1679,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,19,yes,3545,Common Ground Dove,Columbina passerina,1,1633,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,20,yes,1971,Smooth-billed Ani,Crotophaga ani,1,1615,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,21,yes,3460,White-winged Dove,Zenaida asiatica,1,1594,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,22,yes,4756,Turkey Vulture,Cathartes aura,1,1529,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,23,yes,3938,Ruddy Turnstone,Arenaria interpres,1,1369,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,24,yes,13858,House Sparrow,Passer domesticus,1,1350,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,25,yes,4937,Little Blue Heron,Egretta caerulea,1,1338,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,26,yes,18180,Hispaniolan Woodpecker,Melanerpes striatus,1,1241,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,27,yes,16771,Loggerhead Kingbird,Tyrannus caudifasciatus,1,1213,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,28,yes,7434,Palmchat,Dulus dominicus,1,1209,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,29,yes,3080,Scaly-naped Pigeon,Patagioenas squamosa,1,1200,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,30,yes,145242,Palm Warbler,Setophaga palmarum,1,1200,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,31,yes,4836,Black-necked Stilt,Himantopus mexicanus,1,1133,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,32,yes,9600,Carib Grackle,Quiscalus lugubris,1,1072,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,33,yes,10019,Lesser Antillean Bullfinch,Loxigilla noctis,1,1053,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,34,yes,3093,White-crowned Pigeon,Patagioenas leucocephala,1,1040,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,35,yes,1650089,Eastern Red-legged Thrush,Turdus ardosiaceus,1,1024,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,36,yes,72458,Spotted Sandpiper,Actitis macularius,1,1006,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,37,yes,18182,Puerto Rican Woodpecker,Melanerpes portoricensis,1,985,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,38,yes,4940,Snowy Egret,Egretta thula,1,918,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,39,yes,2121,Puerto Rican Tody,Todus mexicanus,1,904,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,40,yes,1289681,Cuban Emerald,Riccordia ricordii,1,902,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,41,yes,6951,White-cheeked Pintail,Anas bahamensis,1,883,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,42,yes,145231,Cape May Warbler,Setophaga tigrina,1,856,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,43,yes,10247,American Redstart,Setophaga ruticilla,1,846,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,44,yes,12718,Western Red-legged Thrush,Turdus plumbeus,1,846,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,45,yes,1964,Mangrove Cuckoo,Coccyzus minor,1,838,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,46,yes,9345,Venezuelan Troupial,Icterus icterus,1,797,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,47,yes,4793,Killdeer,Charadrius vociferus,1,787,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,48,yes,6377,Antillean Crested Hummingbird,Orthorhyncus cristatus,1,781,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,49,yes,145233,Northern Parula,Setophaga americana,1,737,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,50,yes,73504,Yellow-faced Grassquit,Tiaris olivaceus,1,728,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,51,yes,4938,Tricolored Heron,Egretta tricolor,1,721,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,52,yes,145249,Prairie Warbler,Setophaga discolor,1,705,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,53,yes,5212,Red-tailed Hawk,Buteo jamaicensis,1,692,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,54,yes,6427,Green-throated Carib,Eulampis holosericeus,1,665,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,55,yes,5795,Hispaniolan Mango,Anthracothorax dominicus,1,653,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,56,yes,6892,West Indian Whistling-Duck,Dendrocygna arborea,1,651,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,57,yes,3797,Brown Booby,Sula leucogaster,1,649,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,58,yes,73412,Puerto Rican Spindalis,Spindalis portoricensis,1,621,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,59,yes,199916,Black-throated Blue Warbler,Setophaga caerulescens,1,609,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,60,yes,116999,Osprey,Pandion haliaetus,1,587,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,61,yes,19349,Monk Parakeet,Myiopsitta monachus,1,585,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,62,yes,4817,Semipalmated Plover,Charadrius semipalmatus,1,578,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,63,yes,4956,Great Blue Heron,Ardea herodias,1,565,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,64,yes,882,Red Junglefowl,Gallus gallus,1,562,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,65,yes,17399,Black-whiskered Vireo,Vireo altiloquus,1,557,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,66,yes,3454,Mourning Dove,Zenaida macroura,1,544,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,67,yes,4840,American Oystercatcher,Haematopus palliatus,1,535,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,68,yes,3893,Lesser Yellowlegs,Tringa flavipes,1,531,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,69,yes,10371,Shiny Cowbird,Molothrus bonariensis,1,529,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,70,yes,4257,American Flamingo,Phoenicopterus ruber,1,525,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,71,yes,16085,Cuban Pewee,Contopus caribaeus,1,524,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,72,yes,509678,Red-billed Streamertail,Trochilus polytmus,1,517,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,73,yes,2117,Cuban Tody,Todus multicolor,1,514,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,74,yes,18193,West Indian Woodpecker,Melanerpes superciliaris,1,513,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,75,yes,16024,Puerto Rican Flycatcher,Myiarchus antillarum,1,511,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,76,yes,6430,Purple-throated Carib,Eulampis jugularis,1,508,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,77,yes,2118,Broad-billed Tody,Todus subulatus,1,504,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,78,yes,1505633,Wilson's Plover,Anarhynchus wilsonia,1,493,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,79,yes,558593,Cuban Blackbird,Ptiloxena atroviolacea,1,463,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,80,yes,20844,Cuban Trogon,Priotelus temnurus,1,460,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,81,yes,145238,Mangrove Yellow Warbler,Setophaga petechia,1,452,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,82,yes,3849,Sanderling,Calidris alba,1,445,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,83,yes,13893,Scaly-breasted Munia,Lonchura punctulata,1,434,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,84,yes,13796,Village Weaver,Ploceus cucullatus,1,431,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,85,yes,145246,Yellow-throated Warbler,Setophaga dominica,1,425,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,86,yes,10286,Black-and-white Warbler,Mniotilta varia,1,413,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,87,yes,4892,Black-bellied Plover,Pluvialis squatarola,1,406,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,88,yes,19602,Antillean Nighthawk,Chordeiles gundlachii,1,405,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,89,yes,11874,Caribbean Martin,Progne dominicensis,1,404,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,90,yes,3751,White Ibis,Eudocimus albus,1,400,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,91,yes,72743,Great Lizard-Cuckoo,Coccyzus merlini,1,398,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,92,yes,14884,Tropical Mockingbird,Mimus gilvus,1,395,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
birds,93,yes,144541,Sandwich Tern,Thalasseus sandvicensis,1,388,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
